relative_path,filename,extension,size_mb,folder_depth,parent_folder,suspected_placeholder
"Computer Science/! Гид_по_Computer_Science,_расширенное_издание 2021.pdf","! Гид_по_Computer_Science,_расширенное_издание 2021.pdf",.pdf,7.12,1,Computer Science,no
"Computer Science/!!!Computer_Science_для_программиста_самоучки_Все,_что_нужно_знать.pdf","!!!Computer_Science_для_программиста_самоучки_Все,_что_нужно_знать.pdf",.pdf,3.13,1,Computer Science,no
Computer Science/Computer Science  JAVA.pdf,Computer Science  JAVA.pdf,.pdf,75.95,1,Computer Science,no
Computer Science/Computer_Organization_and_Architecture_Global_Edition_11th_Editi.pdf,Computer_Organization_and_Architecture_Global_Edition_11th_Editi.pdf,.pdf,27.59,1,Computer Science,no
Computer Science/Computer_Science_для_программиста_самоучки_с примерами на  Python.pdf,Computer_Science_для_программиста_самоучки_с примерами на  Python.pdf,.pdf,3.14,1,Computer Science,no
Computer Science/CS для программиста-самоучки.pdf,CS для программиста-самоучки.pdf,.pdf,3.12,1,Computer Science,no
Computer Science/Digital.Audio.Theory.A.Practical.Guide.pdf,Digital.Audio.Theory.A.Practical.Guide.pdf,.pdf,9.35,1,Computer Science,no
"Computer Science/Distributed Systems 3rd Maarten van Steen, Andrew S. Tanenbaum.pdf","Distributed Systems 3rd Maarten van Steen, Andrew S. Tanenbaum.pdf",.pdf,37.43,1,Computer Science,no
Computer Science/Everything_You_Need_to_Ace_Computer_Science_and_Coding_in_One_Big.pdf,Everything_You_Need_to_Ace_Computer_Science_and_Coding_in_One_Big.pdf,.pdf,38.56,1,Computer Science,no
Computer Science/Introduction to the theory of computation 2012.pdf,Introduction to the theory of computation 2012.pdf,.pdf,23.89,1,Computer Science,no
Computer Science/Introduction_to_Computer_Organization.pdf,Introduction_to_Computer_Organization.pdf,.pdf,9.89,1,Computer Science,no
Computer Science/Kompyuternye_nauki_Bazovy_kurs_2019_Brukshir_Dzh_Glenn_Brilov_Dennis.pdf,Kompyuternye_nauki_Bazovy_kurs_2019_Brukshir_Dzh_Glenn_Brilov_Dennis.pdf,.pdf,115.35,1,Computer Science,no
Computer Science/Mathematics for Computer Science Eric Lehman.pdf,Mathematics for Computer Science Eric Lehman.pdf,.pdf,6.48,1,Computer Science,no
"Computer Science/Playing Software - Sicart, Miguel_.pdf","Playing Software - Sicart, Miguel_.pdf",.pdf,2.49,1,Computer Science,no
"Computer Science/The_Art_of_Computer_Programming,_Vol_1_Fundamental_Algorithms,_3rd.pdf","The_Art_of_Computer_Programming,_Vol_1_Fundamental_Algorithms,_3rd.pdf",.pdf,6.68,1,Computer Science,no
Computer Science/Введение в информационный поиск.pdf,Введение в информационный поиск.pdf,.pdf,65.12,1,Computer Science,no
Computer Science/Введение_в_эволюционную_информатику.pdf,Введение_в_эволюционную_информатику.pdf,.pdf,16.25,1,Computer Science,no
"Computer Science/Гид_по_Computer_Science,_расширенное_издание 2021.pdf","Гид_по_Computer_Science,_расширенное_издание 2021.pdf",.pdf,7.12,1,Computer Science,no
Computer Science/Доказательство корректности программ.pdf,Доказательство корректности программ.pdf,.pdf,13.19,1,Computer Science,no
Computer Science/Игошин В.И. Теория алгоритмов [2016].pdf,Игошин В.И. Теория алгоритмов [2016].pdf,.pdf,11.49,1,Computer Science,no
"Computer Science/Идеи,_определившие_облик_информатики_2023_Гарри_Рой_Льюис.pdf","Идеи,_определившие_облик_информатики_2023_Гарри_Рой_Льюис.pdf",.pdf,17.27,1,Computer Science,no
Computer Science/Как_на_самом_деле_работают_компьютеры.pdf,Как_на_самом_деле_работают_компьютеры.pdf,.pdf,40.2,1,Computer Science,no
Computer Science/Классические задачи - Computer_Science на языке Python_202.pdf,Классические задачи - Computer_Science на языке Python_202.pdf,.pdf,24.04,1,Computer Science,no
Computer Science/Компьютерные_науки_Базовый_курс_13_е_издание 2019.pdf,Компьютерные_науки_Базовый_курс_13_е_издание 2019.pdf,.pdf,104.52,1,Computer Science,no
Computer Science/Компьютерные_системы_Архитектура_и_программирование.pdf,Компьютерные_системы_Архитектура_и_программирование.pdf,.pdf,17.13,1,Computer Science,no
Computer Science/Масштабируемые_вычисления_для_гетерогенных_платформ.pdf,Масштабируемые_вычисления_для_гетерогенных_платформ.pdf,.pdf,11.91,1,Computer Science,no
Computer Science/Метавычисления.pdf,Метавычисления.pdf,.pdf,0.99,1,Computer Science,no
Computer Science/Методы_научных_исследований в программной инженерии 2021.pdf,Методы_научных_исследований в программной инженерии 2021.pdf,.pdf,1.79,1,Computer Science,no
Computer Science/Распределенные системы реального времени.pdf,Распределенные системы реального времени.pdf,.pdf,2.23,1,Computer Science,no
"Computer Science/Распределенные_системы_2021_Эндрю_С_Таненбаум,_Мартен_ван_Стин.pdf","Распределенные_системы_2021_Эндрю_С_Таненбаум,_Мартен_ван_Стин.pdf",.pdf,12.58,1,Computer Science,no
"Computer Science/Сжатие_данных,_изображений_и_звука_.pdf","Сжатие_данных,_изображений_и_звука_.pdf",.pdf,7.56,1,Computer Science,no
Computer Science/Стариченко_Б_Е_Теоретические_основы_информатики.pdf,Стариченко_Б_Е_Теоретические_основы_информатики.pdf,.pdf,3.58,1,Computer Science,no
Computer Science/Структура и иттерпритация компьютерных программ.pdf,Структура и иттерпритация компьютерных программ.pdf,.pdf,4.01,1,Computer Science,no
Computer Science/Теоретический_минимум_по_CS-разработчику - 2018.pdf,Теоретический_минимум_по_CS-разработчику - 2018.pdf,.pdf,10.33,1,Computer Science,no
Computer Science/Теоретический_минимум_по_CS-сети-криптография - 2022.pdf,Теоретический_минимум_по_CS-сети-криптография - 2022.pdf,.pdf,12.36,1,Computer Science,no
Computer Science/Теория_вычислений_для_программистов.pdf,Теория_вычислений_для_программистов.pdf,.pdf,15.56,1,Computer Science,no
Computer Science/Цифровая_схемотехника_и_архитектура.pdf,Цифровая_схемотехника_и_архитектура.pdf,.pdf,30.27,1,Computer Science,no
DevOps/CI-CD/!  Мирко_Херинг_DevOps_для_современного_предприятия_ДМК_Пресс_2020.pdf,!  Мирко_Херинг_DevOps_для_современного_предприятия_ДМК_Пресс_2020.pdf,.pdf,3.16,2,CI-CD,no
DevOps/CI-CD/!!! Learning DevOps 2022.pdf,!!! Learning DevOps 2022.pdf,.pdf,18.7,2,CI-CD,no
DevOps/CI-CD/!!!Python_Непрерывная_интеграция_и_доставка_2020.pdf,!!!Python_Непрерывная_интеграция_и_доставка_2020.pdf,.pdf,1.47,2,CI-CD,no
DevOps/CI-CD/!Ленц_М_Python_Непрерывная_интеграция_и_доставка_2020.pdf,!Ленц_М_Python_Непрерывная_интеграция_и_доставка_2020.pdf,.pdf,1.46,2,CI-CD,no
DevOps/CI-CD/Automating Workflows with GitHub.pdf,Automating Workflows with GitHub.pdf,.pdf,26.28,2,CI-CD,no
"DevOps/CI-CD/A_Practical_Guide_to_Azure_DevOps_Learn_by_doing_Hewage,_Milindanath.pdf","A_Practical_Guide_to_Azure_DevOps_Learn_by_doing_Hewage,_Milindanath.pdf",.pdf,12.01,2,CI-CD,no
DevOps/CI-CD/CICD_Pipeline_Using_Jenkins_Unleashed_Solutions_While_Setting_Up.pdf,CICD_Pipeline_Using_Jenkins_Unleashed_Solutions_While_Setting_Up.pdf,.pdf,13.76,2,CI-CD,no
DevOps/CI-CD/cleverics_devops_for_it_managers.pdf,cleverics_devops_for_it_managers.pdf,.pdf,2.29,2,CI-CD,no
DevOps/CI-CD/Continuous delivery.pdf,Continuous delivery.pdf,.pdf,7.54,2,CI-CD,no
